df_index,final_price,list_price,bathrooms,parking,lat,long,mean_district_income,sqft,bedrooms_ag,total_bedrooms,is_house
2937,432700,429900,1,1,43.77324900000001,-79.2552731,33256,650.0,1,2,0
2938,685000,699900,2,1,43.6369251,-79.4690573,71204,1100.0,3,3,1
2939,1115000,1199000,2,1,43.6528151,-79.41045270000002,50694,1750.0,3,3,1
2940,645000,659900,3,1,43.72878,-79.5222386,34168,1856.3063063063064,3,3,1
2941,650000,518000,2,1,43.777401,-79.4155725,44576,1100.0,1,2,0
2942,585000,499000,1,0,43.6413624,-79.41405300000002,70623,650.0,1,2,0
2943,1699000,1699000,5,4,43.7320703,-79.4301699,123077,2310.1479046836484,3,5,1
2944,890000,889900,2,1,43.6966222,-79.39308100000002,57039,1100.0,2,2,0
2945,418000,349000,2,1,43.824079,-79.2737753,28085,1300.0,2,3,0
2946,2208000,2388000,5,2,43.7218335,-79.42619100000002,123077,2310.1479046836484,4,5,1
2947,682000,698800,3,2,43.8011657,-79.3158651,31826,1856.3063063063064,3,4,1
2948,690000,699000,2,3,43.72837929999999,-79.24901349999998,30974,1300.0,3,5,1
2949,1250000,1299000,2,1,43.6960167,-79.3956848,57039,1100.0,2,3,0
2950,644000,659900,1,0,43.70061339999999,-79.39781140000002,89330,650.0,1,2,0
2951,948000,799000,3,2,43.81473560000001,-79.3172663,31786,2250.0,4,4,1
2952,3000000,3195000,4,2,43.7217298,-79.4064988,169203,2310.1479046836484,4,6,1
2953,1325000,1349000,2,2,43.7070388,-79.32513689999998,43907,1300.0,3,4,1
2954,705000,649000,2,1,43.6899285,-79.4943821,30827,1761.820652173913,3,3,1
2955,970000,899000,2,0,43.6546598,-79.41454320000003,50694,1761.820652173913,5,5,1
2956,1361000,1198000,2,2,43.64454110000001,-79.5193905,64140,900.0,2,4,1
2957,1357000,1299000,3,1,43.726658,-79.4119338,111730,2310.1479046836484,3,3,1
2958,348500,368000,1,1,43.7495758,-79.26674200000002,31692,950.0,2,2,0
2959,781100,699900,2,4,43.7209848,-79.26275609999998,30974,2310.1479046836484,3,5,1
